plot_id,fold,matching,Ftype,Altitude
plot_00231,2.0,micmac,D,Élevé
plot_00232,2.0,micmac,D,Moyen
plot_00233,3.0,micmac,C,Élevé
plot_00234,3.0,micmac,C,Élevé
plot_00235,3.0,micmac,M,Élevé
plot_00236,3.0,micmac,C,Élevé
plot_00237,3.0,micmac,M,Élevé
plot_00238,3.0,micmac,D,Élevé
plot_00239,3.0,micmac,M,Élevé
plot_00240,3.0,micmac,C,Élevé
plot_00241,2.0,micmac,M,Élevé
plot_00242,2.0,micmac,C,Élevé
plot_00243,3.0,micmac,C,Élevé
plot_00244,3.0,micmac,C,Élevé
plot_00245,3.0,micmac,C,Élevé
plot_00246,3.0,micmac,C,Élevé
plot_00247,3.0,micmac,M,Élevé
plot_00248,3.0,micmac,M,Élevé
plot_00249,3.0,micmac,C,Élevé
plot_00250,3.0,micmac,C,Élevé
plot_00251,3.0,micmac,C,Élevé
plot_00252,3.0,micmac,C,Élevé
plot_00253,3.0,micmac,C,Élevé
plot_00254,3.0,micmac,C,Élevé
plot_00255,3.0,micmac,C,Élevé
plot_00256,3.0,micmac,M,Élevé
plot_00257,3.0,micmac,C,Élevé
plot_00258,3.0,micmac,C,Élevé
plot_00259,3.0,micmac,C,Élevé
plot_00260,3.0,micmac,C,Élevé
plot_00261,3.0,micmac,D,Élevé
plot_00262,3.0,micmac,C,Élevé
plot_00263,3.0,micmac,D,Élevé
plot_00264,3.0,micmac,D,Élevé
plot_00265,3.0,micmac,C,Élevé
plot_00266,3.0,micmac,C,Élevé
plot_00267,3.0,micmac,C,Élevé
plot_00268,3.0,micmac,D,Élevé
plot_00269,3.0,micmac,M,Élevé
plot_00270,3.0,micmac,C,Élevé
plot_00271,3.0,micmac,C,Élevé
plot_00272,3.0,micmac,D,Élevé
plot_00273,3.0,micmac,M,Élevé
plot_00274,3.0,micmac,C,Élevé
plot_00275,3.0,micmac,C,Élevé
plot_00276,3.0,micmac,C,Élevé
plot_00277,3.0,micmac,M,Élevé
plot_00278,3.0,micmac,D,Élevé
plot_00279,3.0,micmac,M,Élevé
plot_00280,3.0,micmac,D,Élevé
plot_00281,3.0,micmac,C,Élevé
plot_00282,3.0,micmac,D,Élevé
plot_00283,3.0,micmac,C,Élevé
plot_00284,3.0,micmac,C,Élevé
plot_00285,3.0,micmac,D,Élevé
plot_00286,3.0,micmac,C,Élevé
plot_00287,3.0,micmac,M,Élevé
plot_00288,3.0,micmac,D,Élevé
plot_00289,3.0,micmac,M,Élevé
plot_00290,3.0,micmac,M,Élevé
plot_00291,3.0,micmac,M,Élevé
plot_00292,3.0,micmac,C,Élevé
plot_00293,3.0,micmac,C,Élevé
plot_00294,3.0,micmac,M,Élevé
plot_00295,3.0,micmac,M,Élevé
plot_00296,3.0,micmac,C,Élevé
plot_00297,3.0,micmac,C,Élevé
plot_00298,3.0,micmac,C,Élevé
plot_00299,3.0,micmac,D,Élevé
plot_00300,3.0,micmac,C,Élevé
plot_00301,3.0,micmac,M,Élevé
plot_00302,3.0,micmac,C,Élevé
plot_00303,3.0,micmac,C,Élevé
plot_00304,3.0,micmac,C,Élevé
plot_00305,3.0,micmac,C,Élevé
plot_00306,3.0,micmac,C,Élevé
plot_00307,3.0,micmac,C,Élevé
plot_00308,3.0,micmac,M,Élevé
plot_00309,3.0,micmac,C,Élevé
plot_00310,3.0,micmac,C,Élevé
plot_00311,3.0,micmac,C,Élevé
plot_00312,3.0,micmac,C,Élevé
plot_00313,3.0,micmac,C,Élevé
plot_00314,3.0,micmac,C,Élevé
plot_00315,3.0,micmac,C,Élevé
plot_00315,3.0,micmac,C,Élevé
plot_00315,3.0,micmac,C,Élevé
plot_00315,3.0,micmac,C,Élevé
plot_00316,3.0,micmac,C,Élevé
plot_00316,3.0,micmac,C,Élevé
plot_00316,3.0,micmac,C,Élevé
plot_00316,3.0,micmac,C,Élevé
plot_00317,3.0,micmac,D,Élevé
plot_00317,3.0,micmac,D,Élevé
plot_00317,3.0,micmac,D,Élevé
plot_00317,3.0,micmac,D,Élevé
plot_00318,3.0,micmac,C,Élevé
plot_00318,3.0,micmac,C,Élevé
plot_00318,3.0,micmac,C,Élevé
plot_00318,3.0,micmac,C,Élevé
plot_00319,3.0,micmac,C,Élevé
plot_00319,3.0,micmac,C,Élevé
plot_00319,3.0,micmac,C,Élevé
plot_00319,3.0,micmac,C,Élevé
plot_00320,3.0,micmac,C,Élevé
plot_00320,3.0,micmac,C,Élevé
plot_00320,3.0,micmac,C,Élevé
plot_00320,3.0,micmac,C,Élevé
plot_00321,3.0,micmac,C,Élevé
plot_00321,3.0,micmac,C,Élevé
plot_00321,3.0,micmac,C,Élevé
plot_00321,3.0,micmac,C,Élevé
plot_00322,3.0,micmac,M,Élevé
plot_00322,3.0,micmac,M,Élevé
plot_00322,3.0,micmac,M,Élevé
plot_00322,3.0,micmac,M,Élevé
plot_00323,3.0,micmac,M,Élevé
plot_00323,3.0,micmac,M,Élevé
plot_00323,3.0,micmac,M,Élevé
plot_00323,3.0,micmac,M,Élevé
plot_00324,3.0,micmac,M,Élevé
plot_00324,3.0,micmac,M,Élevé
plot_00324,3.0,micmac,M,Élevé
plot_00324,3.0,micmac,M,Élevé
plot_00325,3.0,micmac,C,Élevé
plot_00325,3.0,micmac,C,Élevé
plot_00325,3.0,micmac,C,Élevé
plot_00325,3.0,micmac,C,Élevé
plot_00326,3.0,micmac,M,Élevé
plot_00326,3.0,micmac,M,Élevé
plot_00326,3.0,micmac,M,Élevé
plot_00326,3.0,micmac,M,Élevé
plot_00327,3.0,micmac,C,Élevé
plot_00327,3.0,micmac,C,Élevé
plot_00327,3.0,micmac,C,Élevé
plot_00327,3.0,micmac,C,Élevé
plot_00328,3.0,micmac,C,Élevé
plot_00328,3.0,micmac,C,Élevé
plot_00328,3.0,micmac,C,Élevé
plot_00328,3.0,micmac,C,Élevé
plot_00329,3.0,micmac,M,Élevé
plot_00329,3.0,micmac,M,Élevé
plot_00329,3.0,micmac,M,Élevé
plot_00329,3.0,micmac,M,Élevé
plot_00330,3.0,micmac,M,Élevé
plot_00330,3.0,micmac,M,Élevé
plot_00330,3.0,micmac,M,Élevé
plot_00330,3.0,micmac,M,Élevé
plot_00331,3.0,micmac,M,Élevé
plot_00331,3.0,micmac,M,Élevé
plot_00331,3.0,micmac,M,Élevé
plot_00331,3.0,micmac,M,Élevé
plot_00332,3.0,micmac,C,Élevé
plot_00332,3.0,micmac,C,Élevé
plot_00332,3.0,micmac,C,Élevé
plot_00332,3.0,micmac,C,Élevé
plot_00333,3.0,micmac,C,Élevé
plot_00333,3.0,micmac,C,Élevé
plot_00333,3.0,micmac,C,Élevé
plot_00333,3.0,micmac,C,Élevé
plot_00334,3.0,micmac,C,Élevé
plot_00334,3.0,micmac,C,Élevé
plot_00334,3.0,micmac,C,Élevé
plot_00334,3.0,micmac,C,Élevé
plot_00335,3.0,micmac,C,Élevé
plot_00335,3.0,micmac,C,Élevé
plot_00335,3.0,micmac,C,Élevé
plot_00335,3.0,micmac,C,Élevé
plot_00336,3.0,micmac,C,Élevé
plot_00336,3.0,micmac,C,Élevé
plot_00336,3.0,micmac,C,Élevé
plot_00336,3.0,micmac,C,Élevé
plot_00337,3.0,micmac,C,Élevé
plot_00337,3.0,micmac,C,Élevé
plot_00337,3.0,micmac,C,Élevé
plot_00337,3.0,micmac,C,Élevé
plot_00338,3.0,micmac,C,Moyen
plot_00338,3.0,micmac,C,Moyen
plot_00338,3.0,micmac,C,Moyen
plot_00338,3.0,micmac,C,Moyen
plot_00339,3.0,micmac,D,Élevé
plot_00339,3.0,micmac,D,Élevé
plot_00339,3.0,micmac,D,Élevé
plot_00339,3.0,micmac,D,Élevé
plot_00340,3.0,micmac,C,Élevé
plot_00340,3.0,micmac,C,Élevé
plot_00340,3.0,micmac,C,Élevé
plot_00340,3.0,micmac,C,Élevé
plot_00341,3.0,micmac,M,Élevé
plot_00341,3.0,micmac,M,Élevé
plot_00341,3.0,micmac,M,Élevé
plot_00341,3.0,micmac,M,Élevé
plot_00342,3.0,micmac,M,Faible
plot_00342,3.0,micmac,M,Faible
plot_00342,3.0,micmac,M,Faible
plot_00342,3.0,micmac,M,Faible
plot_00343,3.0,micmac,D,Élevé
plot_00343,3.0,micmac,D,Élevé
plot_00343,3.0,micmac,D,Élevé
plot_00343,3.0,micmac,D,Élevé
plot_00344,3.0,micmac,D,Faible
plot_00344,3.0,micmac,D,Faible
plot_00344,3.0,micmac,D,Faible
plot_00344,3.0,micmac,D,Faible
plot_00345,3.0,micmac,D,Élevé
plot_00345,3.0,micmac,D,Élevé
plot_00345,3.0,micmac,D,Élevé
plot_00345,3.0,micmac,D,Élevé
plot_00346,3.0,micmac,D,Moyen
plot_00346,3.0,micmac,D,Moyen
plot_00346,3.0,micmac,D,Moyen
plot_00346,3.0,micmac,D,Moyen
plot_00347,3.0,micmac,M,Moyen
plot_00347,3.0,micmac,M,Moyen
plot_00347,3.0,micmac,M,Moyen
plot_00347,3.0,micmac,M,Moyen
plot_00348,3.0,micmac,C,Élevé
plot_00348,3.0,micmac,C,Élevé
plot_00348,3.0,micmac,C,Élevé
plot_00348,3.0,micmac,C,Élevé
plot_00349,3.0,micmac,M,Élevé
plot_00349,3.0,micmac,M,Élevé
plot_00349,3.0,micmac,M,Élevé
plot_00349,3.0,micmac,M,Élevé
plot_00350,3.0,micmac,C,Élevé
plot_00350,3.0,micmac,C,Élevé
plot_00350,3.0,micmac,C,Élevé
plot_00350,3.0,micmac,C,Élevé
plot_00351,3.0,micmac,M,Élevé
plot_00351,3.0,micmac,M,Élevé
plot_00351,3.0,micmac,M,Élevé
plot_00351,3.0,micmac,M,Élevé
plot_00352,3.0,micmac,M,Élevé
plot_00352,3.0,micmac,M,Élevé
plot_00352,3.0,micmac,M,Élevé
plot_00352,3.0,micmac,M,Élevé
plot_00353,3.0,micmac,C,Élevé
plot_00353,3.0,micmac,C,Élevé
plot_00353,3.0,micmac,C,Élevé
plot_00353,3.0,micmac,C,Élevé
plot_00354,2.0,micmac,C,Élevé
plot_00355,2.0,micmac,C,Élevé
plot_00356,2.0,micmac,D,Élevé
plot_00357,2.0,micmac,M,Élevé
plot_00358,2.0,micmac,M,Élevé
plot_00359,2.0,micmac,M,Élevé
plot_00360,2.0,micmac,M,Élevé
plot_00361,2.0,micmac,C,Élevé
plot_00362,2.0,micmac,C,Élevé
plot_00363,2.0,micmac,M,Élevé
plot_00364,2.0,micmac,D,Élevé
plot_00365,2.0,micmac,M,Élevé
plot_00366,3.0,micmac,M,Élevé
plot_00367,2.0,micmac,D,Élevé
plot_00368,2.0,micmac,C,Élevé
plot_00369,3.0,micmac,C,Élevé
plot_00370,3.0,micmac,D,Élevé
plot_00371,3.0,micmac,D,Élevé
plot_00372,3.0,micmac,D,Élevé
plot_00373,3.0,micmac,D,Élevé
plot_00374,3.0,micmac,D,Élevé
plot_00375,3.0,micmac,D,Moyen
plot_00376,3.0,micmac,C,Élevé
plot_00377,3.0,micmac,M,Élevé
plot_00378,3.0,micmac,M,Élevé
plot_00379,3.0,micmac,C,Élevé
plot_00380,3.0,micmac,D,Élevé
plot_00381,3.0,micmac,M,Élevé
plot_00382,3.0,micmac,C,Élevé
plot_00383,3.0,micmac,C,Élevé
plot_00384,3.0,micmac,M,Élevé
plot_00385,3.0,micmac,D,Élevé
plot_00386,3.0,micmac,M,Élevé
plot_00387,3.0,micmac,M,Moyen
plot_00388,3.0,micmac,D,Élevé
plot_00389,3.0,micmac,D,Élevé
plot_00390,3.0,micmac,C,Moyen
plot_00391,2.0,micmac,C,Faible
plot_00392,3.0,micmac,C,Moyen
plot_00393,3.0,micmac,C,Élevé
plot_00394,3.0,micmac,D,Élevé
plot_00395,3.0,micmac,M,Élevé
plot_00396,3.0,micmac,D,Élevé
plot_00397,3.0,micmac,D,Élevé
plot_00398,3.0,micmac,D,Élevé
plot_00399,3.0,micmac,M,Élevé
plot_00400,3.0,micmac,D,Élevé
plot_00401,3.0,micmac,D,Élevé
plot_00402,3.0,micmac,D,Élevé
plot_00403,3.0,micmac,D,Moyen
plot_00404,3.0,micmac,C,Moyen
plot_00405,2.0,micmac,D,Moyen
plot_00406,3.0,micmac,D,Moyen
plot_00407,3.0,micmac,D,Élevé
plot_00408,3.0,micmac,C,Élevé
plot_00409,3.0,micmac,C,Élevé
plot_00410,3.0,micmac,D,Moyen
plot_00411,3.0,micmac,M,Élevé
plot_00412,3.0,micmac,D,Élevé
plot_00413,3.0,micmac,M,Élevé
plot_00414,2.0,micmac,D,Moyen
plot_00415,3.0,micmac,D,Moyen
plot_00416,3.0,micmac,M,Moyen
plot_00417,3.0,micmac,M,Moyen
plot_00418,3.0,micmac,D,Élevé
plot_00419,3.0,micmac,D,Moyen
plot_00420,3.0,micmac,D,Moyen
plot_00421,3.0,micmac,C,Élevé
plot_00422,3.0,micmac,D,Moyen
plot_00423,3.0,micmac,D,Élevé
plot_00424,2.0,micmac,D,Élevé
plot_00425,2.0,micmac,D,Moyen
plot_00426,2.0,micmac,D,Faible
plot_00427,3.0,micmac,M,Moyen
plot_00428,3.0,micmac,D,Moyen
plot_00429,3.0,micmac,M,Élevé
plot_00430,3.0,micmac,D,Élevé
plot_00431,3.0,micmac,D,Moyen
plot_00432,3.0,micmac,D,Élevé
plot_00433,3.0,micmac,D,Moyen
plot_00434,3.0,micmac,D,Moyen
plot_00435,2.0,micmac,D,Élevé
plot_00436,2.0,micmac,C,Moyen
plot_00437,2.0,micmac,D,Moyen
plot_00438,2.0,micmac,D,Moyen
plot_00439,3.0,micmac,D,Moyen
plot_00440,3.0,micmac,D,Moyen
plot_00441,2.0,micmac,D,Moyen
plot_00442,2.0,micmac,D,Faible
plot_00443,2.0,micmac,D,Moyen
plot_00444,2.0,micmac,D,Moyen
plot_00445,2.0,micmac,D,Moyen
plot_00446,2.0,micmac,D,Moyen
plot_00447,1.0,micmac,D,Moyen
plot_00448,1.0,micmac,D,Moyen
plot_00449,1.0,micmac,D,Faible
plot_00450,1.0,micmac,C,Moyen
plot_00451,1.0,micmac,D,Moyen
plot_00452,2.0,micmac,D,Faible
plot_00453,2.0,micmac,D,Moyen
plot_00454,2.0,micmac,D,Moyen
plot_00455,2.0,micmac,D,Moyen
plot_00456,1.0,micmac,C,Moyen
plot_00457,2.0,micmac,D,Moyen
plot_00458,2.0,micmac,D,Faible
plot_00459,1.0,micmac,D,Moyen
plot_00460,1.0,micmac,D,Moyen
plot_00461,1.0,micmac,D,Faible
plot_00462,1.0,micmac,C,Moyen
plot_00463,2.0,micmac,D,Moyen
plot_00464,1.0,micmac,C,Moyen
plot_00465,1.0,micmac,D,Moyen
plot_00466,1.0,micmac,C,Moyen
plot_00467,1.0,micmac,D,Moyen
plot_00468,1.0,micmac,D,Moyen
plot_00469,2.0,micmac,C,Moyen
plot_00470,2.0,micmac,D,Faible
plot_00471,1.0,micmac,D,Moyen
plot_00472,1.0,micmac,D,Moyen
plot_00473,1.0,micmac,D,Faible
plot_00474,1.0,micmac,C,Moyen
plot_00475,1.0,micmac,D,Moyen
plot_00476,2.0,micmac,D,Moyen
plot_00477,1.0,micmac,M,Faible
plot_00478,1.0,micmac,D,Moyen
plot_00479,1.0,micmac,D,Moyen
plot_00480,2.0,micmac,M,Moyen
plot_00481,2.0,micmac,D,Moyen
plot_00482,1.0,micmac,D,Faible
plot_00483,2.0,micmac,D,Moyen
plot_00484,1.0,micmac,C,Faible
plot_00485,1.0,micmac,M,Moyen
plot_00486,2.0,micmac,D,Moyen
plot_00487,2.0,micmac,D,Moyen
plot_00488,1.0,micmac,C,Moyen
plot_00489,1.0,micmac,M,Moyen
plot_00490,2.0,micmac,D,Faible
plot_00491,1.0,micmac,D,Faible
plot_00492,2.0,micmac,D,Moyen
plot_00493,2.0,micmac,D,Moyen
plot_00494,1.0,micmac,D,Faible
plot_00495,1.0,micmac,M,Faible
plot_00496,1.0,micmac,D,Faible
plot_00497,2.0,micmac,C,Moyen
plot_00498,2.0,micmac,D,Moyen
plot_00499,2.0,micmac,D,Moyen
plot_00500,3.0,micmac,D,Élevé
plot_00501,2.0,micmac,D,Moyen
plot_00502,3.0,micmac,D,Élevé
plot_00503,3.0,micmac,D,Élevé
plot_00504,3.0,micmac,D,Élevé
plot_00505,3.0,micmac,D,Élevé
plot_00506,3.0,micmac,D,Élevé
plot_00507,2.0,micmac,D,Moyen
plot_00508,2.0,micmac,D,Moyen
plot_00509,3.0,micmac,D,Élevé
plot_00510,2.0,micmac,D,Moyen
plot_00511,2.0,micmac,D,Élevé
plot_00512,3.0,micmac,D,Élevé
plot_00513,3.0,micmac,D,Élevé
plot_00514,3.0,micmac,D,Élevé
plot_00515,3.0,micmac,D,Élevé
plot_00516,3.0,micmac,D,Élevé
plot_00517,2.0,micmac,D,Moyen
plot_00518,3.0,micmac,C,Élevé
plot_00519,2.0,micmac,C,Moyen
plot_00520,3.0,micmac,D,Élevé
plot_00521,3.0,micmac,C,Élevé
plot_00522,3.0,micmac,D,Élevé
plot_00523,2.0,micmac,D,Moyen
plot_00524,3.0,micmac,D,Élevé
plot_00525,3.0,micmac,D,Élevé
plot_00526,3.0,micmac,D,Élevé
plot_00527,2.0,micmac,D,Moyen
plot_00528,3.0,micmac,D,Élevé
plot_00529,3.0,micmac,D,Élevé
plot_00530,3.0,micmac,D,Élevé
plot_00531,3.0,micmac,D,Élevé
plot_00532,2.0,micmac,D,Moyen
plot_00533,3.0,micmac,D,Élevé
plot_00534,3.0,micmac,C,Élevé
plot_00535,3.0,micmac,D,Élevé
plot_00536,3.0,micmac,D,Élevé
plot_00537,2.0,micmac,D,Élevé
plot_00538,3.0,micmac,D,Élevé
plot_00539,3.0,micmac,D,Élevé
plot_00540,3.0,micmac,D,Élevé
plot_00541,3.0,micmac,D,Élevé
plot_00542,3.0,micmac,D,Élevé
plot_00543,3.0,micmac,D,Élevé
plot_00544,3.0,micmac,D,Élevé
plot_00545,3.0,micmac,D,Élevé
plot_00546,3.0,micmac,C,Élevé
plot_00547,3.0,micmac,M,Élevé
plot_00548,1.0,micmac,D,Faible
plot_00550,1.0,micmac,D,Faible
plot_00551,1.0,micmac,M,Faible
plot_00552,1.0,micmac,M,Faible
plot_00553,1.0,micmac,D,Moyen
plot_00554,1.0,micmac,D,Faible
plot_00555,1.0,micmac,D,Moyen
plot_00556,1.0,micmac,M,Faible
plot_00557,1.0,micmac,D,Moyen
plot_00558,1.0,micmac,D,Faible
plot_00559,1.0,micmac,D,Faible
plot_00560,1.0,micmac,C,Faible
plot_00561,1.0,micmac,D,Moyen
plot_00562,1.0,micmac,D,Moyen
plot_00563,1.0,micmac,M,Moyen
plot_00564,1.0,micmac,D,Moyen
plot_00565,1.0,micmac,D,Moyen
plot_00566,1.0,micmac,D,Moyen
plot_00567,1.0,micmac,D,Moyen
plot_00568,1.0,micmac,D,Faible
plot_00569,1.0,micmac,D,Faible
plot_00570,1.0,micmac,M,Faible
plot_00571,1.0,micmac,D,Faible
plot_00572,1.0,micmac,M,Faible
plot_00573,1.0,micmac,D,Faible
plot_00574,1.0,micmac,D,Faible
plot_00575,1.0,micmac,D,Faible
plot_00576,1.0,micmac,D,Faible
plot_00577,1.0,micmac,D,Faible
plot_00578,1.0,micmac,D,Faible
plot_00579,1.0,micmac,D,Faible
plot_00580,1.0,micmac,D,Faible
plot_00581,1.0,micmac,D,Faible
plot_00582,1.0,micmac,D,Faible
plot_00583,1.0,micmac,D,Faible
plot_00584,2.0,micmac,D,Moyen
plot_00585,1.0,micmac,D,Faible
plot_00586,2.0,micmac,D,Faible
plot_00587,2.0,micmac,D,Moyen
plot_00588,1.0,micmac,D,Faible
plot_00589,1.0,micmac,D,Faible
plot_00590,1.0,micmac,D,Faible
plot_00591,1.0,micmac,D,Moyen
plot_00592,2.0,micmac,M,Moyen
plot_00593,1.0,micmac,D,Faible
plot_00594,1.0,micmac,D,Faible
plot_00595,2.0,micmac,C,Moyen
plot_00596,1.0,micmac,D,Faible
plot_00597,2.0,micmac,D,Faible
plot_00598,2.0,micmac,D,Moyen
plot_00599,1.0,micmac,D,Faible
plot_00600,2.0,micmac,M,Moyen
plot_00601,2.0,micmac,D,Moyen
plot_00602,2.0,micmac,D,Moyen
plot_00603,2.0,micmac,D,Moyen
plot_00604,2.0,micmac,D,Moyen
plot_00605,2.0,micmac,D,Moyen
plot_00606,2.0,micmac,D,Moyen
plot_00607,2.0,micmac,D,Moyen
plot_00608,2.0,micmac,D,Moyen
